priority,company,profile,region,website_or_source,outreach_angle
A,Triunfar Consultoria,consultoria especializada em licitacoes,GO,https://www.triunfarconsultoria.com.br/,"Foco em encontrar licitacoes certas; abordagem baseada em IA aplicada."
A,Inove Licitacoes,consultoria em licitacoes,PE,https://inovelicitacoes.com.br/en/,"Equipe juridica e tecnica; bom alvo para piloto por estado."
A,Fornecta Licitacoes,consultoria e assessoria,SC,https://fornectalicitacoes.com.br/,"Landing muito comercial; encaixe forte com oferta de diagnostico e radar."
A,Master Consultoria em Licitacoes,consultoria em licitacoes,RJ,https://masterlicitacoes.com.br/servicos/,"Parceria para reduzir trabalho manual de coleta e organizacao."
A,Licitapramim,consultoria em licitacao,Brasil,https://www.licitapramim.com/,"Empresa voltada a apoio completo; vender pre-triagem e segmentacao."
A,Licitacao Tatica,consultoria estrategica em licitacoes,Brasil,https://www.licitatica.com.br/,"Discurso de previsibilidade combina com score e filtros do LicitaIA."
A,Mais Licita,consultoria em licitacoes publicas,Brasil,https://maislicita.com.br/,"Equipe com viés tecnico; bom alvo para parceria ou canal."
A,LC Consultoria em Licitacoes,consultoria em licitacoes,Brasil,https://lclicitacoes.com.br/servicos,"Abordar com argumento de acelerar analise de edital e recurso."
A,LicitCon,assessoria e consultoria em licitacoes,Brasil,https://www.licitcon.com.br/,"Prometem equipe inteira por custo menor; LicitaIA aumenta essa margem."
A,Efetiva Licitacoes,consultoria nacional e internacional,Brasil,https://www.efetivalicitacoes.com/quem-somos.php,"Bom fit para analytics e base de oportunidades em multiplos mercados."
A,AC Assessoria em Licitacoes,consultoria em licitacoes,Brasil,https://www.acassessorialicitacoes.com/,"Do edital ao pos-contrato; oferecer radar como primeira camada."
A,Concreta Licitacoes,assessoria e consultoria em licitacoes,Brasil,https://concretalicitacoes.com.br/,"Startup/consultoria com perfil de crescimento; alta abertura a ferramenta."
A,Junior Licitacoes,consultoria e assessoria em licitacoes,Brasil,https://juniorlicitacoes.com.br/,"Atendimento remoto em todo o Brasil; ideal para piloto rapido."
A,Multi Consultoria,consultoria em contratos publicos,Brasil,https://multicons.com.br/licitacoes-publicas/,"Atuam como departamento terceirizado; LicitaIA reduz custo de operacao."
A,LicitAqui,assessoria em licitacoes,Brasil,https://www.licitaqui.com.br/credibilidade-assessoria-em-licitacoes/,"Cases com pequenas empresas; encaixe claro para white-label assistido."
A,Simonetti CT,assessoria em licitacoes publicas,DF,https://www.simonettict.com.br/,"Posicionamento em Brasilia; bom prospect para nicho institucional."
A,Solicita Licitacoes,consultoria em licitacao,MT,https://br.linkedin.com/company/solicitalicitacoes,"LinkedIn indica escala e historico; bom alvo para abordagem direta."
B,Mendonca Sica Advogados,consultoria em licitacoes e contratos,SP,https://msica.adv.br/area-de-atuacao/consultoria-em-licitacoes-e-em-gestao-de-contratos-administrativos/,"Escritorio com pratica empresarial; vender monitoramento e triagem para clientes."
B,HMGC Advogados,licitacoes e contratos publicos,SP,https://www.hmgcadvogados.com.br/licitacao-e-contratos-publicos/,"Pode usar LicitaIA como ferramenta para frente consultiva."
B,Rovi Engenharia,consultoria em licitacoes publicas,SP,https://roviengenharia.com.br/consultoria-em-licitacoes-publicas/,"Vertical de engenharia e mecanica; bom caso para nicho tecnico."
B,Manesco Advogados,direito publico e licitacoes,SP/DF/RJ,https://manesco.com.br/,"Prospect enterprise ou parceiro, principalmente para clientes corporativos."
B,Dantas e Benevides Advogados Associados,licitacoes e contratos,BA,https://cnpj.biz/46662726000190,"Escritorio regional com atuacao em licitacoes; abordar via casos em BA."
B,Reis e Calili Consultoria em Licitacoes,consultoria em licitacoes,GO,https://www.gov.br/pgfn/pt-br/servicos/editais-de-notificacao/editais-2024/edital-de-procedimento-administrativo-de-reconhecimento-de-responsabilidade-no-691-16012024.pdf,"Nome aparece em fonte publica; possivel operacao enxuta aberta a stack."
B,SVC Consultoria em Licitacoes e Pregoes,consultoria em licitacoes,RJ,https://transparencia.al.gov.br/media/licitacoes/PROPOSTAS_r6GqJns.pdf,"Prospect com evidencia de participacao em processos publicos."
B,Prime Comercio e Consultoria em Licitacoes,comercio e consultoria em licitacoes,MT,https://www.tapurah.mt.leg.br/transparencia/licitacoes-e-contratos/licitacoes/pregao/2025/pregao-eletronico-004-2025/5-parecer-juridico-legalidade-pregao-eletronico-04-2025,"Mistura venda e consultoria; bom fit para radar por produto."
B,S and M Consultoria em Licitacoes e Contratos,consultoria em licitacoes,MT,https://www.claudia.mt.gov.br/wp-content/uploads/2022/07/LIC_0401_PRE_057_2021-REGISTRO-DE-PRECOS-PARA-FUTURA-E-EVENTUAL-AQUISICAO-DE-EQUIPAMENTOS-DE-PROTECAO-INDIVIDU.pdf,"Pode se beneficiar de triagem para operacao multi-edital."
B,Licitar Consultoria Assessoria em Licitacoes e Servicos,consultoria em licitacoes,MA,https://acessoinformacao.org.br/licitacoes/arquivos/download/1a78e6b3380b9a49a43e4d77ec2dd1f63557464c.pdf,"Fonte publica indica atuacao; prospect regional interessante."
B,Gomes e Oliveira Assessoria e Consultoria,consultoria em licitacoes,PE,https://transparencia.camaradecarnaiba.pe.gov.br/storage/documentos/Or%C3%A7amento%20Forma%C3%A7%C3%A3o%20de%20Pre%C3%A7o11072025014559.pdf,"Atuacao regional; pitch por ganho de velocidade."
B,Licita Brasil,consultoria em licitacoes e contratos,RJ,https://licitabrasil.com.br/contato.php,"Mais de 20 anos de mercado; propor modulo de IA para ganho de escala."
C,Licitacoes SP Consultoria LTDA,consultoria em licitacoes,SP,https://cnpj.biz/44626424000131,"Lead de CNPJ para contato direto por telefone/email."
C,RRW Licita LTDA,consultoria em licitacoes,SP,https://www.ifs.edu.br/images/DELC/Editais_2025/PREG%C3%83O_SRP_90029.2025_-_Material_consumo_laborat%C3%B3rios_El%C3%A9trica/RRW_2.pdf,"Tem email e telefone em proposta publica; lead operacional."
C,RC Consultoria em Licitacoes,consultoria em licitacoes,RJ,https://cnpj.biz/61051044000135,"Empresa aberta recentemente; bom momento para vender ferramenta base."
C,Transparencia Consultoria em Licitacoes,consultoria em licitacoes,RJ,https://cnpj.biz/29166513000159,"Lead com CNPJ ativo; abordar como ganho de produtividade."
C,FLDS Consultorias em Licitacoes e Vendas de Equipamentos,consultoria e venda de equipamentos,RJ,https://www.informecadastral.com.br/cnpj/flds-consultorias-em-licitacoes-e-vendas-de-equipamentos-ltda-47135697000171,"Une consultoria e comercializacao; muito alinhado ao ICP."
